codigo_municipio,year,round,left_share,right_share,abstention_rate,delta_left,delta_right,delta_abstention
05134,2014,2,,0.35379939209726446,,,-0.42955172850038764,
05134,2018,1,0.0592797783933518,0.5030470914127424,,,0.317940708434019,
05134,2018,2,0.13029989658738367,0.8174767321613237,,,0.4636773400640592,
05134,2022,1,0.15338753387533877,0.45420054200542004,,0.09410775548198697,-0.04884654940732236,
05134,2022,2,0.2879426644182125,0.6492411467116358,,0.1576427678308288,-0.16823558544968786,
05138,2002,1,0.1289586305278174,0.4165477888730385,,,,
05138,2006,1,0.07900101936799185,0.8295107033639144,,-0.04995761115982554,0.4129629144908759,
05138,2010,1,0.009588493807431082,0.7131442269276868,,-0.06941252556056077,-0.11636647643622766,
05138,2010,2,,0.8865570051049347,,,,
05138,2014,1,,0.4968216794914687,,,-0.21632254743621804,
05138,2014,2,,0.5834280841387152,,,-0.3031289209662196,
05138,2018,1,0.03417778444011393,0.7860890421226203,,,0.2892673626311516,
05138,2018,2,0.07174332139906361,0.885981823189204,,,0.3025537390504889,
05138,2022,1,0.10032993401319736,0.5868326334733054,,0.06615214957308344,-0.19925640864931493,
05138,2022,2,0.14849517319704714,0.8165814877910278,,0.07675185179798352,-0.06940033539817625,
05142,2002,1,0.14896291640477688,0.535512256442489,,,,
05142,2006,1,0.22624434389140272,0.6704374057315233,,0.07728142748662584,0.13492514928903432,
05142,2010,1,0.027120600115406807,0.5626081938834391,,-0.1991237437759959,-0.10782921184808425,
05142,2010,2,,0.7792880258899676,,,,
05142,2014,1,,0.2920284135753749,,,-0.2705797803080642,
05142,2014,2,,0.47885714285714287,,,-0.3004308830328247,
05142,2018,1,0.10476190476190476,0.5946428571428571,,,0.30261444356748224,
05142,2018,2,0.16073354908306364,0.7810140237324703,,,0.30215688087532744,
05142,2022,1,0.1743486973947896,0.4574148296593186,,0.06958679263288482,-0.13722802748353852,
05142,2022,2,0.2379841343910406,0.7186187587494167,,0.07725058530797696,-0.06239526498305359,
05145,2002,1,0.24031413612565444,0.5005235602094241,,,,
05145,2006,1,0.1561219845243514,0.7669549385525717,,-0.08419215160130306,0.26643137834314756,
05145,2010,1,0.01987353206865402,0.6061427280939476,,-0.13624845245569736,-0.16081221045862404,
05145,2010,2,,0.8003714020427113,,,,
05145,2014,1,,0.4404819277108434,,,-0.16566080038310427,
05145,2014,2,,0.5258323765786452,,,-0.27453902546406606,
05145,2018,1,0.03033980582524272,0.5182038834951457,,,0.0777219557843023,
05145,2018,2,0.14473684210526316,0.8005756578947368,,,0.2747432813160916,
05145,2022,1,0.1411451398135819,0.49755881047492234,,0.11080533398833918,-0.020645073020223337,
05145,2022,2,0.19983242563887726,0.7633012149141182,,0.0550955835336141,-0.03727444298061866,
05147,2002,1,0.48733160301569645,0.4375231738969225,,,,
05147,2006,1,0.06124273580688422,0.4646848457755923,,-0.4260888672088122,0.027161671878669802,
05147,2010,1,0.07287822878228782,0.5565805658056581,,0.011635492975403602,0.09189572003006574,
05147,2010,2,,0.7631515151515151,,,,
05147,2014,1,,0.32275971451229185,,,-0.23382085129336622,
05147,2014,2,,0.371349763146849,,,-0.39180175200466616,
05147,2018,1,0.3503769255981645,0.3797661968753414,,,0.05700648236304956,
05147,2018,2,0.46262218096434227,0.4810790149074428,,,0.10972925176059384,
05147,2022,1,0.47181227863046044,0.1798996458087367,,0.12143535303229591,-0.1998665510666047,
05147,2022,2,0.5836729023893313,0.37567142063345066,,0.12105072142498907,-0.10540759427399216,
05148,2002,1,0.06848967152048764,0.6170843210294615,,,,
05148,2006,1,0.2620926494227678,0.6496419698962443,,0.19360297790228015,0.03255764886678281,
05148,2010,1,0.03385924481474916,0.4184837203805472,,-0.2282334046080186,-0.23115824951569713,
05148,2010,2,,0.6734261695437336,,,,
05148,2014,1,,0.321863173216885,,,-0.0966205471636622,
05148,2014,2,,0.5661443047787806,,,-0.10728186476495294,
05148,2018,1,0.08638562543192813,0.49705272572055775,,,0.17518955250367274,
05148,2018,2,0.21880111220150475,0.7082515538109257,,,0.1421072490321451,
05148,2022,1,0.21465367211973546,0.3649843369300383,,0.12826804668780734,-0.13206838879051946,
05148,2022,2,0.296732929991357,0.661123595505618,,0.07793181778985223,-0.047127958305307804,
05150,2002,1,0.20803443328550933,0.5043041606886657,,,,
05150,2006,1,0.20557913887204365,0.6343238326258338,,-0.002455294413465675,0.13001967193716812,
05150,2010,1,0.02906617192331478,0.3945578231292517,,-0.17651296694872887,-0.2397660094965821,
05150,2010,2,,0.6686991869918699,,,,
05150,2014,1,,0.277190332326284,,,-0.11736749080296771,
05150,2014,2,,0.4959677419354839,,,-0.17273144505638605,
05150,2018,1,0.06042780748663101,0.5823529411764706,,,0.30516260885018665,
05150,2018,2,0.1256572029442692,0.7965299684542587,,,0.30056222651877484,
05150,2022,1,0.18234507356219348,0.5617476593847526,,0.12191726607556247,-0.020605281791718055,
05150,2022,2,0.2479047198941332,0.7132774591971769,,0.12224751694986402,-0.08325250925708183,
05154,2002,1,0.5598789655335445,0.3284005484374261,,,,
05154,2006,1,0.17770470544646166,0.5001389403482771,,-0.3821742600870829,0.171738391910851,
05154,2010,1,0.06516814002043446,0.3843010083958953,,-0.1125365654260272,-0.11583793195238179,
05154,2010,2,,0.6154747948417351,,,,
05154,2014,1,,0.23823932674578033,,,-0.146061681650115,
