codigo_municipio,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
05483,0.5083606614565988,1179731.612857143,85664.96285714286,76356.31285714287
05490,0.8111756469672619,1531985.98,40535.044285714284,143914.5314285714
05495,0.5990786436661121,1156850.8814285714,49568.76714285714,70142.64714285715
05501,0.5522745744189903,2031235.732857143,239581.4342857143,202660.14571428573
05541,0.80237837960456,1129558.77,66024.47428571428,211797.17571428572
05543,0.42064761957436053,1601687.8257142857,173818.5057142857,106930.12
05576,0.7024175543640644,1668008.4857142859,90401.79285714286,204038.90285714288
05579,0.9242295975114658,922673.0285714286,25388.395714285718,287928.41714285716
05585,0.8357306152835278,1405318.2885714285,73112.35857142857,356475.2214285714
05591,0.8158193555042818,1306630.9985714287,84949.04714285713,301010.86714285717
05604,0.5809206214878941,1516892.0042857141,391797.47857142857,330258.9285714286
05607,0.9761871752946033,1852698.7828571429,37637.08,1408886.4057142858
05615,0.9946916141922705,3295352.1928571425,9981.275714285715,1214659.9042857143
05628,0.4476050278552952,1249259.4242857143,140915.84,94457.13
05631,0.9830024693625828,2302377.397142857,24275.24714285714,1264280.9742857143
05642,0.6852751221033865,983658.21,65362.008571428574,121922.15000000001
05647,0.5601687152334407,1440461.0185714287,132680.07,173144.61857142858
05649,0.6678990901260194,1807169.0185714287,208118.61285714287,233289.98285714284
05652,0.4355628692715205,1877380.52,181320.0342857143,131800.08
05656,0.8885790461963902,1302634.55,65921.2342857143,465046.67
05658,0.6486615145849569,1440213.342857143,118957.48571428572,172805.20857142858
05659,0.5632439783951447,1295927.3457142857,123049.75142857143,126268.56000000001
05660,0.7348790445399144,1294136.1985714287,70532.47428571428,174075.16285714283
05664,0.9038343751520546,1312837.9616666667,58189.24333333334,490251.99499999994
05665,0.6354603568865667,1198759.927142857,61788.32142857143,101265.95857142858
05667,0.7210755983945354,1393087.4957142859,90984.41857142856,191408.79571428572
05670,0.7278620902649593,1050293.6099999999,51795.84142857143,131697.57
05674,0.7766580041837413,1110412.6728571428,74971.64857142858,178113.6885714286
05679,0.8304560153966044,756524.8057142857,32000.95142857143,108182.96857142857
05686,0.8828467268057446,864406.6671428571,47308.228571428575,275927.5642857143
05690,0.8362050175502216,1573694.2214285715,77284.18428571429,421042.4885714286
05697,0.9093860232386387,869020.9500000001,28101.014285714286,246797.82
05736,0.45736405319345647,1175668.2,384776.0657142857,305595.14714285714
05756,0.9180699646482214,1200247.3342857142,37074.810000000005,355213.2528571429
05761,0.8728636972190964,1324538.1585714284,70957.53857142858,405206.89
05789,0.7792957904789383,1135024.5542857142,63082.79142857143,184656.40285714288
05790,0.6795524218991381,938725.3814285714,32947.374285714286,62236.57857142858
05792,0.7417527242493822,1327336.3157142855,129411.88714285714,326768.65571428573
05809,0.7996117809518187,1033659.7871428571,81450.89428571428,330145.9714285714
05819,0.5332983830029795,1989441.8557142857,226075.83857142855,225111.2642857143
05837,0.8884480011760664,1519858.6142857142,17142.10714285714,131471.11714285714
05842,0.537789365950147,1984279.6357142858,170778.62000000002,210695.2442857143
05847,0.8074517167327736,975554.6028571428,34208.275714285715,129074.32428571429
05854,0.61136523060164,1405121.434285714,97744.92,136657.79142857142
05856,0.7849017215516534,1227332.9542857143,93767.60714285714,291919.0042857143
05858,0.7352138201331674,1594347.2014285715,103687.09285714287,254458.24142857143
05861,0.8559110672683632,1287213.67,73711.94571428571,440038.5628571428
05873,0.4609600512927243,1673689.9742857143,227233.08571428573,230010.38571428572
05885,0.6308383525042388,1487860.52,117666.6557142857,166890.8457142857
05887,0.9041274899091117,962559.8357142856,29668.252857142856,225820.79571428572
05890,0.7600988835570952,974903.5728571428,49023.72000000001,133514.24714285714
05893,0.8783889161695583,2381315.62,78934.68428571429,509864.78428571427
05895,0.8128182931333726,1256446.9442857143,76154.2,289705.02857142856
08001,0.9878329109220392,1974225.1457142856,10233.327142857142,686093.8414285714
08078,0.8619381699828429,744176.0357142857,18020.16857142857,106394.38714285714
08137,0.32826005121875346,1109729.8028571429,80897.3857142857,31209.16
08141,0.40117814515288824,989777.2985714285,86117.62571428572,56190.28428571428
08296,0.8981635986000391,798393.7357142858,34305.13428571429,237951.55714285714
08372,0.6989048400858462,737031.5385714286,47837.65857142857,109074.84857142856
08421,0.7234134954247714,861011.9485714285,36410.29142857143,91119.53857142858
08433,0.9680725652685861,975836.6114285713,5963.087142857143,166062.0142857143
08436,0.46589837452604405,1041064.83,60896.224285714285,52927.08714285714
08520,0.8163843211688067,667043.7342857142,27936.14285714286,57535.71571428572
