codigo_municipio,year,round,candidate,votes,total_votes,registered_voters,vote_share
05107,2002,1,luis_eduardo_garzon,24,702,,0.0341880341880341
05107,2002,1,noemi_sanin,120,702,,0.1709401709401709
05113,2002,1,BEDOYA,7,1205,,0.0058091286307053
05113,2002,1,CARDONA,1,1205,,0.0008298755186721
05113,2002,1,CRISTANCHO,1,1205,,0.0008298755186721
05113,2002,1,LORA,3,1205,,0.0024896265560165
05113,2002,1,RINCON,2,1205,,0.0016597510373443
05113,2002,1,TARJETAS NO MARCADAS,26,1205,,0.0215767634854771
05113,2002,1,TOVAR,4,1205,,0.0033195020746887
05113,2002,1,VOTOS EN BLANCO,25,1205,,0.0207468879668049
05113,2002,1,VOTOS NULOS,28,1205,,0.0232365145228215
05113,2002,1,alvaro_uribe,473,1205,,0.3925311203319502
05113,2002,1,horacio_serpa,458,1205,,0.3800829875518672
05113,2002,1,ingrid_betancourt,3,1205,,0.0024896265560165
05113,2002,1,luis_eduardo_garzon,15,1205,,0.0124481327800829
05113,2002,1,noemi_sanin,159,1205,,0.1319502074688796
05120,2002,1,BEDOYA,76,5002,,0.0151939224310275
05120,2002,1,CARDONA,1,5002,,0.0001999200319872
05120,2002,1,CRISTANCHO,7,5002,,0.0013994402239104
05120,2002,1,LORA,13,5002,,0.0025989604158336
05120,2002,1,RINCON,1,5002,,0.0001999200319872
05120,2002,1,TARJETAS NO MARCADAS,50,5002,,0.0099960015993602
05120,2002,1,TOVAR,25,5002,,0.0049980007996801
05120,2002,1,VOTOS EN BLANCO,47,5002,,0.0093962415033986
05120,2002,1,VOTOS NULOS,107,5002,,0.0213914434226309
05120,2002,1,alvaro_uribe,1376,5002,,0.2750899640143942
05120,2002,1,horacio_serpa,3004,5002,,0.6005597760895641
05120,2002,1,ingrid_betancourt,10,5002,,0.001999200319872
05120,2002,1,luis_eduardo_garzon,100,5002,,0.0199920031987205
05120,2002,1,noemi_sanin,185,5002,,0.0369852059176329
05125,2002,1,BEDOYA,12,1315,,0.0091254752851711
05125,2002,1,CARDONA,1,1315,,0.0007604562737642
05125,2002,1,CRISTANCHO,4,1315,,0.003041825095057
05125,2002,1,LORA,3,1315,,0.0022813688212927
05125,2002,1,RINCON,2,1315,,0.0015209125475285
05125,2002,1,TARJETAS NO MARCADAS,36,1315,,0.0273764258555133
05125,2002,1,VOTOS EN BLANCO,44,1315,,0.0334600760456273
05125,2002,1,VOTOS NULOS,46,1315,,0.0349809885931559
05125,2002,1,alvaro_uribe,496,1315,,0.3771863117870722
05125,2002,1,horacio_serpa,529,1315,,0.4022813688212928
05125,2002,1,ingrid_betancourt,4,1315,,0.003041825095057
05125,2002,1,luis_eduardo_garzon,12,1315,,0.0091254752851711
05125,2002,1,noemi_sanin,126,1315,,0.0958174904942965
05129,2002,1,BEDOYA,100,21914,,0.0045632928721365
05129,2002,1,CARDONA,27,21914,,0.0012320890754768
05129,2002,1,CRISTANCHO,23,21914,,0.0010495573605914
05129,2002,1,LORA,15,21914,,0.0006844939308204
05129,2002,1,RINCON,13,21914,,0.0005932280733777
05129,2002,1,TARJETAS NO MARCADAS,115,21914,,0.005247786802957
05129,2002,1,TOVAR,23,21914,,0.0010495573605914
05129,2002,1,VOTOS EN BLANCO,634,21914,,0.0289312768093456
05129,2002,1,VOTOS NULOS,457,21914,,0.0208542484256639
05129,2002,1,alvaro_uribe,13323,21914,,0.6079675093547504
05129,2002,1,horacio_serpa,2398,21914,,0.109427763073834
05129,2002,1,ingrid_betancourt,144,21914,,0.0065711417358766
05129,2002,1,luis_eduardo_garzon,1189,21914,,0.0542575522497033
05129,2002,1,noemi_sanin,3453,21914,,0.1575705028748745
05134,2002,1,BEDOYA,7,641,,0.0109204368174727
05134,2002,1,CARDONA,4,641,,0.0062402496099844
05134,2002,1,CRISTANCHO,4,641,,0.0062402496099844
05134,2002,1,LORA,5,641,,0.0078003120124804
05134,2002,1,TARJETAS NO MARCADAS,15,641,,0.0234009360374415
05134,2002,1,TOVAR,1,641,,0.0015600624024961
05134,2002,1,VOTOS EN BLANCO,20,641,,0.0312012480499219
05134,2002,1,VOTOS NULOS,15,641,,0.0234009360374415
05134,2002,1,alvaro_uribe,411,641,,0.641185647425897
05134,2002,1,horacio_serpa,43,641,,0.0670826833073322
05134,2002,1,ingrid_betancourt,5,641,,0.0078003120124804
05134,2002,1,luis_eduardo_garzon,18,641,,0.0280811232449297
05134,2002,1,noemi_sanin,93,641,,0.1450858034321372
05138,2002,1,BEDOYA,35,3505,,0.0099857346647646
05138,2002,1,CARDONA,16,3505,,0.0045649072753209
05138,2002,1,CRISTANCHO,5,3505,,0.0014265335235378
05138,2002,1,LORA,12,3505,,0.0034236804564907
05138,2002,1,RINCON,3,3505,,0.0008559201141226
05138,2002,1,TARJETAS NO MARCADAS,93,3505,,0.0265335235378031
05138,2002,1,TOVAR,12,3505,,0.0034236804564907
05138,2002,1,VOTOS EN BLANCO,81,3505,,0.0231098430813124
05138,2002,1,VOTOS NULOS,110,3505,,0.0313837375178316
05138,2002,1,alvaro_uribe,1460,3505,,0.4165477888730385
05138,2002,1,horacio_serpa,452,3505,,0.1289586305278174
05138,2002,1,ingrid_betancourt,31,3505,,0.0088445078459343
05138,2002,1,luis_eduardo_garzon,83,3505,,0.0236804564907275
05138,2002,1,noemi_sanin,1112,3505,,0.3172610556348074
05142,2002,1,BEDOYA,7,1591,,0.004399748585795
05142,2002,1,CARDONA,7,1591,,0.004399748585795
05142,2002,1,CRISTANCHO,3,1591,,0.0018856065367693
05142,2002,1,LORA,5,1591,,0.0031426775612822
05142,2002,1,RINCON,2,1591,,0.0012570710245128
05142,2002,1,TARJETAS NO MARCADAS,34,1591,,0.021370207416719
05142,2002,1,TOVAR,7,1591,,0.004399748585795
05142,2002,1,VOTOS EN BLANCO,44,1591,,0.0276555625392834
05142,2002,1,VOTOS NULOS,45,1591,,0.0282840980515399
05142,2002,1,alvaro_uribe,852,1591,,0.535512256442489
05142,2002,1,horacio_serpa,237,1591,,0.1489629164047768
05142,2002,1,ingrid_betancourt,10,1591,,0.0062853551225644
05142,2002,1,luis_eduardo_garzon,27,1591,,0.0169704588309239
05142,2002,1,noemi_sanin,311,1591,,0.1954745443117536
05145,2002,1,BEDOYA,3,1910,,0.0015706806282722
05145,2002,1,CARDONA,6,1910,,0.0031413612565445
05145,2002,1,CRISTANCHO,2,1910,,0.0010471204188481
05145,2002,1,LORA,4,1910,,0.0020942408376963
05145,2002,1,RINCON,1,1910,,0.000523560209424
05145,2002,1,TARJETAS NO MARCADAS,16,1910,,0.0083769633507853
05145,2002,1,TOVAR,3,1910,,0.0015706806282722
05145,2002,1,VOTOS EN BLANCO,17,1910,,0.0089005235602094
05145,2002,1,VOTOS NULOS,47,1910,,0.0246073298429319
05145,2002,1,alvaro_uribe,956,1910,,0.5005235602094241
05145,2002,1,horacio_serpa,459,1910,,0.2403141361256544
05145,2002,1,ingrid_betancourt,8,1910,,0.0041884816753926
05145,2002,1,luis_eduardo_garzon,76,1910,,0.0397905759162303
05145,2002,1,noemi_sanin,312,1910,,0.1633507853403141
05147,2002,1,BEDOYA,45,8091,,0.0055617352614015
05147,2002,1,CARDONA,2,8091,,0.00024718823384
05147,2002,1,CRISTANCHO,9,8091,,0.0011123470522803
05147,2002,1,LORA,4,8091,,0.0004943764676801
05147,2002,1,RINCON,1,8091,,0.00012359411692
05147,2002,1,TARJETAS NO MARCADAS,40,8091,,0.0049437646768013
05147,2002,1,TOVAR,12,8091,,0.0014831294030404
05147,2002,1,VOTOS EN BLANCO,101,8091,,0.0124830058089234
05147,2002,1,VOTOS NULOS,85,8091,,0.0105054999382029
05147,2002,1,alvaro_uribe,3540,8091,,0.4375231738969225
05147,2002,1,horacio_serpa,3943,8091,,0.4873316030156964
05147,2002,1,ingrid_betancourt,17,8091,,0.0021010999876405
05147,2002,1,luis_eduardo_garzon,46,8091,,0.0056853293783215
05147,2002,1,noemi_sanin,246,8091,,0.0304041527623285
05148,2002,1,BEDOYA,29,11812,,0.0024551303758889
05148,2002,1,CARDONA,28,11812,,0.0023704707077548
05148,2002,1,CRISTANCHO,20,11812,,0.001693193362682
