"","annoh","corp","codcirc","coddepto","codmpio","nommun","nomdepto","codparti","nomparti","eleccion","votos","censo","color","partido"
"101",2022,12,0,1,"05040","Anorí","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",150,9831,"#dddddd","OTROS"
"102",2022,12,0,1,"05040","Anorí","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",128,9831,"#dddddd","OTROS"
"103",2022,12,0,1,"05040","Anorí","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",44,9831,"#dddddd","OTROS"
"104",2022,12,0,1,"05040","Anorí","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",31,9831,"#808080","VOTOS NULOS"
"105",2022,12,0,1,"05040","Anorí","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",17,9831,"#A97C20","COLOMBIA JUSTA LIBRES"
"106",2022,12,0,1,"05040","Anorí","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",11,9831,"#dddddd","OTROS"
"107",2022,12,0,1,"05040","Anorí","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",5,9831,"#dddddd","OTROS"
"108",2022,12,0,1,"05040","Anorí","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",3,9831,"#dddddd","OTROS"
"109",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",4185,4546,"#871953","COALICION EQUIPO POR COLOMBIA"
"110",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",3000,4546,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"111",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",2222,4546,"#1b3383","COALICION PACTO HISTORICO"
"112",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",438,4546,"#dddddd","OTROS"
"113",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",337,4546,"#dddddd","OTROS"
"114",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",212,4546,"#808080","VOTOS NULOS"
"115",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",49,4546,"#A97C20","COLOMBIA JUSTA LIBRES"
"116",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",29,4546,"#dddddd","OTROS"
"117",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",22,4546,"#dddddd","OTROS"
"118",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",13,4546,"#dddddd","OTROS"
"119",2022,12,0,1,"05042","Santafé de Antioquia","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",9,4546,"#dddddd","OTROS"
"120",2022,12,0,1,"05044","Anza","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",1138,3788,"#871953","COALICION EQUIPO POR COLOMBIA"
"121",2022,12,0,1,"05044","Anza","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",784,3788,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"122",2022,12,0,1,"05044","Anza","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",228,3788,"#1b3383","COALICION PACTO HISTORICO"
"123",2022,12,0,1,"05044","Anza","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",101,3788,"#dddddd","OTROS"
"124",2022,12,0,1,"05044","Anza","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",54,3788,"#dddddd","OTROS"
"125",2022,12,0,1,"05044","Anza","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",29,3788,"#808080","VOTOS NULOS"
"126",2022,12,0,1,"05044","Anza","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",10,3788,"#dddddd","OTROS"
"127",2022,12,0,1,"05044","Anza","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",9,3788,"#dddddd","OTROS"
"128",2022,12,0,1,"05044","Anza","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",4,3788,"#A97C20","COLOMBIA JUSTA LIBRES"
"129",2022,12,0,1,"05044","Anza","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",3,3788,"#dddddd","OTROS"
"130",2022,12,0,1,"05045","Apartadó","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",26164,8262,"#1b3383","COALICION PACTO HISTORICO"
"131",2022,12,0,1,"05045","Apartadó","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",11155,8262,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"132",2022,12,0,1,"05045","Apartadó","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",8332,8262,"#871953","COALICION EQUIPO POR COLOMBIA"
"133",2022,12,0,1,"05045","Apartadó","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",1172,8262,"#dddddd","OTROS"
"134",2022,12,0,1,"05045","Apartadó","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",1128,8262,"#dddddd","OTROS"
"135",2022,12,0,1,"05045","Apartadó","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",872,8262,"#A97C20","COLOMBIA JUSTA LIBRES"
"136",2022,12,0,1,"05045","Apartadó","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",549,8262,"#808080","VOTOS NULOS"
"137",2022,12,0,1,"05045","Apartadó","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",100,8262,"#dddddd","OTROS"
"138",2022,12,0,1,"05045","Apartadó","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",82,8262,"#dddddd","OTROS"
"139",2022,12,0,1,"05045","Apartadó","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",22,8262,"#dddddd","OTROS"
"140",2022,12,0,1,"05045","Apartadó","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",17,8262,"#dddddd","OTROS"
"141",2022,12,0,1,"05051","Arboletes","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",3766,12955,"#1b3383","COALICION PACTO HISTORICO"
"142",2022,12,0,1,"05051","Arboletes","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",3604,12955,"#871953","COALICION EQUIPO POR COLOMBIA"
"143",2022,12,0,1,"05051","Arboletes","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",1482,12955,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"144",2022,12,0,1,"05051","Arboletes","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",332,12955,"#dddddd","OTROS"
"145",2022,12,0,1,"05051","Arboletes","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",99,12955,"#dddddd","OTROS"
"146",2022,12,0,1,"05051","Arboletes","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",68,12955,"#808080","VOTOS NULOS"
"147",2022,12,0,1,"05051","Arboletes","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",67,12955,"#A97C20","COLOMBIA JUSTA LIBRES"
"148",2022,12,0,1,"05051","Arboletes","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",22,12955,"#dddddd","OTROS"
"149",2022,12,0,1,"05051","Arboletes","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",17,12955,"#dddddd","OTROS"
"150",2022,12,0,1,"05051","Arboletes","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",4,12955,"#dddddd","OTROS"
"151",2022,12,0,1,"05051","Arboletes","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",4,12955,"#dddddd","OTROS"
"152",2022,12,0,1,"05055","Argelia","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",1824,5894,"#871953","COALICION EQUIPO POR COLOMBIA"
"153",2022,12,0,1,"05055","Argelia","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",789,5894,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"154",2022,12,0,1,"05055","Argelia","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",219,5894,"#1b3383","COALICION PACTO HISTORICO"
"155",2022,12,0,1,"05055","Argelia","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",82,5894,"#dddddd","OTROS"
"156",2022,12,0,1,"05055","Argelia","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",46,5894,"#dddddd","OTROS"
"157",2022,12,0,1,"05055","Argelia","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",33,5894,"#808080","VOTOS NULOS"
"158",2022,12,0,1,"05055","Argelia","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",15,5894,"#dddddd","OTROS"
